ID,količina,merska enota,sestavina
21374,120,ml,sladka smetana 
21374,300,g,Nutella
21374,200,g,praženi lešniki 
21375,7,dl,jurkin sok 
21375,5,dl,mleko 
21375,100,g,ostra moka  
21376,10,,marelica
21376,200,g, sladka smetana
21376,1,skodelica,sladkor 
21376,3,skodelica,kokosova moka 
21376,1,žlička,vanilijeva aroma
21377,400,g,okroglozrnati riž 
21377,2,l,voda
21377,2,,jajce 
21377,100,g,parmezan 
21377,600,g,mleto meso 
21377,1,,čebula 
21377,3,strok,česn 
21377,3,dl,pasirani paradižnik
21377,100,g,mocarela 
21378,100,g,maslo
21378,100,g,sladkor 
21378,2,,jajce
21378,1,žlička,aroma mete 
21378,250,g,gladka moka
21378,5,žlička,pecilni prešek
21378,5,dl,sladka smetana
21378,150,g,jedilna čokolada 
21378,50,g,mlečna čokolada
21379,35,dag,piščančje meso 
21379,2,,čebula 
21379,1,žlička,sladka paprika 
21379,1,žlička,dimljena paprika 
21379,1,žlička,kumina
21379,5,dl,paradižnikova omaka
21379,20,dag,sir
21379,2,,bučka 
21380,250,g,maslo 
21380,400,g,sladkor 
21380,1,zavojček,vanilijin sladkor 
21380,4,,jajce
21380,250,g,pšenična moka
21380,50,g,kakav v prahu
21380,2,,sladoled 
21381,3,dl,voda 
21381,40,dag,bela moka 
21381,4,kocka,kvas
21381,15,dag,kislo testo
21381,5,žlička,sol 
21381,5,dl,voda
21381,10,dag,slanina 
21381,25,dag,mocarella 
21382,2,,jajce 
21382,60,g,sladkor v prahu 
21382,60,g,sladkor
21382,250,ml,sladka smetana
21382,500,g,zamrznjeni gozdni sadeži
21382,100,g,sladkor 
21382,200,ml,polsuho belo vino 
21382,2,žlička,teranov liker 
21382,1,,limona 
21383,1,kocka,kvas
21383,50,dag,moka 
21383,1,dl,mleko 
21383,12,dag,sadni jogurt 
21383,4,dag,sladkor 
21383,2,,jajce 
21383,6,žlica,olje 
21383,2,žlica,rum 
21383,5,žlička,sol
21383,40,dag,marelica
21383,15,dag,maslo 
21383,10,dag,sladkor 
21383,2,,vanilijev sladkor
21384,3,g,agar 
21384,30,g,sladkor 
21384,400,ml,sojin napitek
21384,400,g,jagode 
21384,30,g,sladkor v prahu 
21385,1,kocka,kvas
21385,3,dl,mleko 
21385,75,dag,moka
21385,5,dag,sladkor 
21385,4,,jajce 
21385,5,žlica,olje 
21385,3,žlica,rum 
21385,2,žlička,sol 
21385,1,kg,jagode 
21385,15,dag,marmelada 
21385,1,,jajce
21386,200,g,gladka moka
21386,30,g,kakav v prahu 
21386,150,g,maslo
21386,100,g,sladkor 
21386,1,,rumenjak  
21386,2,žlica,mleko
21386,100,g,temna čokolada 
21386,30,g,margarina
21387,1,kocka,kvas 
21387,5,dl,mleko 
21387,3,dl,tekoči jogurt 
21387,76,dag,moka 
21387,8,dag,maslo 
21387,6,dag,sladkor 
21387,3,,rumenjak 
21387,2,žlica,rum
21387,2,žlička,sol 
21387,1,kg,fige 
21387,40,dag,ringlo 
21387,30,dag,orehi 
21387,18,dag,ajdova kaša
21387,15,dag,sladkor
21387,5,dl,mleko
21387,25,dag,kisla smetana 
21387,3,,beljak
21388,300,g,sladkor v prahu
21388,300,g,mandlji
21388,1,žlička,cimet
21389,1,kocka,kvas 
21389,3,dl,mleko 
21389,78,dag,moka 
21389,15,dag,jogurt 
21389,8,dag,maslo 
21389,8,dag,sladkor 
21389,3,,rumenjak 
21389,2,žlička,sol 
21389,1,kg,marelica 
21389,50,dag,skuta 
21389,2,,beljak 
21389,12,dag,sladkor  
21390,5,dl,voda
21390,38,dag,bela moka 
21390,20,dag,polnozrnata pirina moka
21390,2,kocka,kvas
21390,20,dag,kislo testo 
21390,4,žlica,sončnična semena 
21390,5,žlička,sol
21391,500,g,file lososa 
21391,500,g,krompir 
21391,50,g,maslo 
21391,1,,čebula 
21391,2,,korenček
21391,25,l,ribja jušna osnova
21391,250,ml,smetana za kuhanje 
21392,5,dl,voda
21392,80,g,maslo 
21392,150,g,moka 
21392,4,,jajce  
21393,750,g,maline  
21393,20,listič,želatina 
21393,1,kg,grški jogurt 
21393,6,žlica,med 
21393,15,,pasijonka 
21394,2,žlička,kurkuma 
21394,20,dag,mešano mleto meso
21394,1,,banana
21394,2,žlica,poprova meta
21395,250,g,zmrznjene borovnice
21395,0.5,žlica,konjak moka 
21395,3,žlica,sok limone 
21396,300,ml,kokosovo mleko
21396,200,ml,voda 
21396,25,g,eritritol
21396,3,g,konjak moka
21397,12,,breskev
21397,100,g,sladkor 
21397,100,g,mleti mandlji
21397,1,,jajce 
21397,100,g,maslo 
21398,100,g,jedilna čokolada 
21398,110,g,maslo 
21398,120,g,rjavi sladkor 
21398,2,,jajce 
21398,60,g,mehka moka 
21398,1,žlička,pecilni prašek 
21398,15,g,kakav
21398,1,vrečka,vanilijin sladkor 
21398,500,g,mascarpone sir  
21398,5,žlica,arašidovo maslo
21398,5,l,smetana za stepanje 
21399,250,g,polnomastna nepasirana skuta 
21399,150,g,brezglutenska mešanica za temni kruh 
21399,100,g,kvinojska moka 
21399,1,,pecilni prašek 
21399,1,dl,mleko 
